Description,sentiment_label,urgency_score_v2,urgency_score,vader_compound,critical_kw_hits,negative_kw_hits
Non-issue of Rupay/ATM card,Neutral,1.99,3.5,0.0,0,0
Non-sanctioning of OD Limit,Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Delay / Non-sanctioning of Loan,Negative,6.0,5.11,-0.3182,0,1
Demand of Coollateral Security,Positive,0.61,2.71,0.2263,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Delay/Non-sanctioning of Loan,Negative,5.77,4.0,0.0,0,1
Waiver of Agricultural Loan,Neutral,1.99,3.5,0.0,0,0
Fasal Bima Yojana Related,Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Delay/Non-reversal of failed transactions,Negative,6.1,5.79,-0.5106,0,1
Non-functioning of ATM,Neutral,1.97,3.5,0.0,0,0
Levy of Service Charges,Negative,4.02,4.46,-0.2732,0,0
Levy of Penal Interest,Positive,0.46,1.89,0.4588,0,0
Non-issuance of Credit/Debit/ATM cards,Neutral,1.99,3.5,0.0,0,0
ATM/Credit Card Frauds,Negative,4.15,5.29,-0.5106,0,0
Non-issuance of ATM pin,Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Non-maintenance of Minimum Balance,Neutral,1.99,3.5,0.0,0,0
Loan processing Charges,Negative,4.0,4.46,-0.2732,0,0
Annual Maintenance charges on Credit/Debit/ATM cards,Negative,4.04,4.46,-0.2732,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Prime Minister Rojgar Yojana,Neutral,1.99,3.5,0.0,0,0
State Government Employment Schemes,Neutral,1.99,3.5,0.0,0,0
Prime Minister Awas Yojana,Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Grievance against Bank,Negative,4.13,5.17,-0.4767,0,0
Grievance against Insurance Company,Negative,4.14,5.17,-0.4767,0,0
Grievance against Bank,Negative,4.13,5.17,-0.4767,0,0
Grievance against Insurance Company,Negative,4.14,5.17,-0.4767,0,0
Non-commencement of Pesnion/Family Pension,Neutral,1.99,3.5,0.0,0,0
Non-submission of Life Certificate,Neutral,1.99,3.5,0.0,0,0
Non-payment of revised pension/arrears,Neutral,1.99,3.5,0.0,0,0
Non-sanction of Pension Loan,Neutral,1.99,3.5,0.0,0,0
Delay/Non-transfer of pension Account,Negative,5.79,4.0,0.0,0,1
Non-restoration of Commuted Pension,Neutral,1.99,3.5,0.0,0,0
Less payment of Pension,Neutral,1.99,3.5,0.0,0,0
Excess Recovery of Pension,Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Delay/Non-sanctioning of Loan,Negative,5.77,4.0,0.0,0,1
Demand of Collateral Security,Positive,0.61,2.71,0.2263,0,0
Others,Neutral,1.92,3.5,0.0,0,0
