Description,sentiment_label,urgency_score_v2,urgency_score,vader_compound,critical_kw_hits,negative_kw_hits
Statistics,Neutral,1.92,3.5,0.0,0,0
Others/Misc,Neutral,1.92,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
NCERT,Neutral,1.92,3.5,0.0,0,0
CTSA,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
All School Boards,Neutral,1.97,3.5,0.0,0,0
Matters relating to UT,Neutral,1.97,3.41,0.0258,0,0
Matters relating to Private Schools,Neutral,1.99,3.41,0.0258,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Delayed Salary Payment,Negative,5.91,4.79,-0.2263,0,1
Appointment/Resignation Related,Neutral,1.95,3.5,0.0,0,0
Transfer Related,Neutral,1.95,3.5,0.0,0,0
Promotion Related,Neutral,1.95,3.5,0.0,0,0
Corruption Related,Neutral,1.95,3.5,0.0,0,0
Harrasment Related,Neutral,1.95,3.5,0.0,0,0
Pension Related (PPO No.),Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
NCERT,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
NCERT,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
NCERT,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
NCERT,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
NCERT,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
NCERT,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
NCERT,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Hall ticket not received,Neutral,1.99,3.5,0.0,0,0
Results not out,Neutral,1.97,3.5,0.0,0,0
Board Exam Re-evaluation,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Certificate not got on time,Neutral,2.0,3.5,0.0,0,0
Transfer Certificate Related,Neutral,1.97,3.5,0.0,0,0
Change in details in certificates,Neutral,2.0,3.5,0.0,0,0
Results Delayed,Negative,5.89,4.79,-0.2263,0,1
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
CBSE/CBSE Affiliated,Neutral,1.95,3.5,0.0,0,0
KVS,Neutral,1.92,3.5,0.0,0,0
NIOS,Neutral,1.92,3.5,0.0,0,0
NVS,Neutral,1.92,3.5,0.0,0,0
State Government Schools,Neutral,1.97,3.5,0.0,0,0
Public/Pvt. Schools,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Cook cum Helper,Positive,0.52,2.31,0.34,0,0
Housekeeping,Neutral,1.92,3.5,0.0,0,0
Infrastructure,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Economic Analysis,Neutral,1.95,3.5,0.0,0,0
Resource Allocation for Education,Neutral,1.99,3.5,0.0,0,0
Expenditure on Education,Neutral,1.97,3.5,0.0,0,0
Operation Digital Board,Neutral,1.97,3.5,0.0,0,0
All Digital Initiatives,Neutral,1.97,3.5,0.0,0,0
ICT Component of Samagra Shiksha,Neutral,2.0,3.5,0.0,0,0
Coordination,Neutral,1.92,3.5,0.0,0,0
Perfotmance Grading Index,Neutral,1.97,3.5,0.0,0,0
UDISE+,Neutral,1.92,3.5,0.0,0,0
DIKSHA,Neutral,1.92,3.5,0.0,0,0
Data related in School Education,Neutral,2.0,3.5,0.0,0,0
UNESCO,Neutral,1.92,3.5,0.0,0,0
NIC,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Early Childhood Education (ECE) / Pre- Primary,Neutral,2.02,3.5,0.0,0,0
Promotion of Sports/Games/Play,Neutral,1.97,3.5,0.0,0,0
Promotion of Reading/Libraries,Neutral,1.97,3.5,0.0,0,0
Yoga in schools,Neutral,1.97,3.5,0.0,0,0
Life Skills,Neutral,1.95,3.5,0.0,0,0
Inclusive Education/Childern with Special Needs (CWSN),Positive,0.52,2.09,0.4019,0,0
Equity,Neutral,1.92,3.5,0.0,0,0
"Experiential Learning including Rangotsav, Langauage Festival etc",Positive,0.48,1.77,0.4939,0,0
Adolescent Education,Neutral,1.95,3.5,0.0,0,0
Mahila Samakhya & Also,Neutral,1.99,3.5,0.0,0,0
Scheme for providing Quality Education in Madrasas (SPQEM),Neutral,2.03,3.5,0.0,0,0
Scheme for Infrastructure Development in Minority Institutions,Neutral,2.02,3.5,0.0,0,0
National Means-cum-Merit Scholarship Scheme,Neutral,1.99,3.5,0.0,0,0
National Scheme for incentive to Girl Child for Secondary Education,Positive,0.59,2.24,0.3612,0,0
Others,Neutral,1.92,3.5,0.0,0,0
"Release of grants of PLA and Saakshar Bharat Scheme, Directorate of Adult Education (DAE), policy / administrative matters of TSG-NLMA (Ed.CIL) including release of funds to Ed.CIL for TSG-NLMA, Administrative Matters of DAE & NLMA.",Positive,0.73,2.54,0.2732,0,0
"Annual Plan and Budget of Adult Education Bureau, Release of grants of PLA and Saakshar Bharat Scheme.",Positive,0.71,2.71,0.2263,0,0
Directorate of Adult Education (DAE),Neutral,2.0,3.5,0.0,0,0
"Release of grants, administrative matters and all policy matters in respect of Padhna Likhna Abhiyan (PLA) and Saakshar Bharat scheme.",Positive,0.47,1.27,0.6369,0,0
"Budget of Samagra Shiksha Scheme, BE/RE, Outcome Budget, Expenditure SSA",Neutral,2.05,3.5,0.0,0,0
"PFMS Audit-SSA-RMSA, QPR, Finance and Digital initiative, Model Schools",Neutral,2.04,3.5,0.0,0,0
"Curriculum, Pedagogy, CCE, Text Books. Uniforms, NIEPA, DBT, UIDAI",Neutral,2.04,3.5,0.0,0,0
"PISA, ICC, External funding and Joint Review Missions, National Achievement Survey [NAS], School Based Assessment, NCERT, UIDA",Neutral,2.09,3.5,0.0,0,0
RTE Act,Neutral,1.95,3.5,0.0,0,0
"School Insfrastructure, Civil Work, Swachh Vidyalaya, School Grant, Swachta Action Plan [Ministry of Drinking Water and Sanitation, Unicef-WASH Unicef-Education]",Positive,0.63,2.24,0.3612,0,0
"[SCERT, DITS, BRCs, CRCs, CSSTE] Teaher Education",Neutral,2.02,3.5,0.0,0,0
"NIOS, NITE",Neutral,1.95,3.5,0.0,0,0
"All aspect of Universal Access including residental schools/hostels Policy and planning regarding Samagra Shiksha Scheme, out of School Children/EWS, Shagunotsav",Neutral,2.1,3.5,0.0,0,0
"Vocational Education and Skill Development, Appointment of Language Teachers (ALT) Scheme",Neutral,2.06,3.5,0.0,0,0
"Community Mobilisation including SMC/SMDC Rashtriya Avishkar Abhyan, Monitoring and Evaluation",Neutral,2.05,3.5,0.0,0,0
Coordination work of all Uts,Neutral,2.0,3.5,0.0,0,0
Coordination work of SS-II Bureau,Neutral,2.0,3.5,0.0,0,0
National Mean-cum-Merit Scholarship Scheme (NMMSS),Neutral,2.0,3.5,0.0,0,0
National Scheme of incentive to Girls for Secondary Education (NSIGSE),Positive,0.59,2.24,0.3612,0,0
Financial,Neutral,1.92,3.5,0.0,0,0
Programmes/Schemes,Neutral,1.92,3.5,0.0,0,0
Budget related issues (BE/RE/Exp.) of the programmes/schemes,Neutral,2.02,3.5,0.0,0,0
Statistics related to School Education,Neutral,2.0,3.5,0.0,0,0
Supply of data to UNESCO,Neutral,2.0,3.5,0.0,0,0
Supply of data to Institute of Statistics,Neutral,2.02,3.5,0.0,0,0
Supply of data to International Agencies,Neutral,2.01,3.5,0.0,0,0
Sustainable Development Goals (SDGs),Neutral,1.99,3.5,0.0,0,0
Index of Service (Education),Neutral,1.99,3.5,0.0,0,0
Production,Neutral,1.92,3.5,0.0,0,0
"Population, Projection",Neutral,1.95,3.5,0.0,0,0
Aspirational Districts,Neutral,1.95,3.5,0.0,0,0
Education For All (EFA),Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Road Transport and Highways,Neutral,1.99,3.5,0.0,0,0
Employee Related/Services Related,Neutral,1.97,3.5,0.0,0,0
Pension Related,Neutral,1.95,3.5,0.0,0,0
Construction & Maintenance of National Highways,Neutral,2.01,3.5,0.0,0,0
Land Acquisition,Neutral,1.95,3.5,0.0,0,0
User Free/Toll Related,Neutral,1.97,3.5,0.0,0,0
Road Transport Related,Neutral,1.97,3.5,0.0,0,0
Policiy Related,Neutral,1.95,3.5,0.0,0,0
Suggestions/Miscellaneous/Others,Neutral,1.92,3.5,0.0,0,0
Compensatory ground appointment,Neutral,1.97,3.5,0.0,0,0
Pending any type of Bill dues for payment,Neutral,2.03,3.5,0.0,0,0
Issues related to promotion,Neutral,1.99,3.5,0.0,0,0
Transfer/Posting,Neutral,1.92,3.5,0.0,0,0
Misbehaviour/Harassment by any officer/staff,Neutral,1.99,3.5,0.0,0,0
Allegation of Corruption/Malpratices,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Pension Not Started/Pension Stopped,Positive,0.64,2.91,0.1695,0,0
Revision of Pension,Neutral,1.97,3.5,0.0,0,0
Miscalculation in Pension,Neutral,1.97,3.5,0.0,0,0
Adding beneficiary in PPO,Positive,0.45,1.83,0.4767,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Quality of National Highways below par,Neutral,2.01,3.5,0.0,0,0
Construction of new National Highways,Neutral,2.0,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Land Acquisition related,Neutral,1.97,3.5,0.0,0,0
Acquired Land Compensation Related,Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Fastag/Toll collection Related,Neutral,1.97,3.5,0.0,0,0
Wayside Amenities,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Road Transport,Neutral,1.95,3.5,0.0,0,0
Road Safety Schemes Related,Positive,0.49,2.02,0.4215,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Tolls TOLLW,Neutral,1.95,3.5,0.0,0,0
Land Acquisation,Neutral,1.95,3.5,0.0,0,0
MVL (Motor Vehicle Legislation) MVLRT,Neutral,2.0,3.5,0.0,0,0
Transport TPTRT,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
General Related to Policies/Act/Rules governed by MoRTH,Neutral,2.02,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Health and Family Welfare,Neutral,1.99,3.5,0.0,0,0
Hospitals,Neutral,1.92,3.5,0.0,0,0
Medicines,Neutral,1.92,3.5,0.0,0,0
CGHS Health Centres,Neutral,1.97,3.5,0.0,0,0
Medical Education,Neutral,1.95,3.5,0.0,0,0
Financial Assistance for Medical Treatment,Neutral,2.0,3.5,0.0,0,0
Health Schemes,Neutral,1.95,3.5,0.0,0,0
Public Health,Neutral,1.95,3.5,0.0,0,0
Food Regulation,Neutral,1.95,3.5,0.0,0,0
Online Health Services,Neutral,1.97,3.5,0.0,0,0
Policy Matters,Neutral,1.93,3.41,0.0258,0,0
MoHFW Employee Related,Neutral,1.97,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
AIIMS,Neutral,1.92,3.5,0.0,0,0
RML Hospital,Neutral,1.95,3.5,0.0,0,0
Safdarjung Hospital,Neutral,1.95,3.5,0.0,0,0
LHMC & Smt. S.K. Hospital,Neutral,2.0,3.5,0.0,0,0
KalavatiSaran Hospital,Neutral,1.95,3.5,0.0,0,0
"Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry",Neutral,2.04,3.5,0.0,0,0
"Postgraduate Institute of Medical Education and Research, Chandigarh",Neutral,2.03,3.5,0.0,0,0
North East Institutions,Neutral,1.97,3.5,0.0,0,0
Other Hospitals,Neutral,1.95,3.5,0.0,0,0
AIIMS New Delhi,Neutral,1.97,3.5,0.0,0,0
AIIMS Bhubaneswar,Neutral,1.95,3.5,0.0,0,0
AIIMS Jodhpur,Neutral,1.95,3.5,0.0,0,0
AIIMS Patna,Neutral,1.95,3.5,0.0,0,0
AIIMS Raipur,Neutral,1.95,3.5,0.0,0,0
AIIMS Rishikesh,Neutral,1.95,3.5,0.0,0,0
Other AIIMS,Neutral,1.95,3.5,0.0,0,0
Patient Care,Positive,0.4,1.77,0.4939,0,0
Students Related,Neutral,1.95,3.5,0.0,0,0
Recruitment Related,Neutral,1.95,3.5,0.0,0,0
Procurement Related,Neutral,1.95,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Patient Care,Positive,0.4,1.77,0.4939,0,0
Students Related,Neutral,1.95,3.5,0.0,0,0
Recruitment Related,Neutral,1.95,3.5,0.0,0,0
Procurement Related,Neutral,1.95,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Patient Care,Positive,0.4,1.77,0.4939,0,0
Students Related,Neutral,1.95,3.5,0.0,0,0
Recruitment Related,Neutral,1.95,3.5,0.0,0,0
Procurement Related,Neutral,1.95,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Patient Care,Positive,0.4,1.77,0.4939,0,0
Students Related,Neutral,1.95,3.5,0.0,0,0
Recruitment Related,Neutral,1.95,3.5,0.0,0,0
Procurement Related,Neutral,1.95,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Patient Care,Positive,0.4,1.77,0.4939,0,0
Students Related,Neutral,1.95,3.5,0.0,0,0
Recruitment Related,Neutral,1.95,3.5,0.0,0,0
Procurement Related,Neutral,1.95,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Patient Care,Positive,0.4,1.77,0.4939,0,0
Students Related,Neutral,1.95,3.5,0.0,0,0
Recruitment Related,Neutral,1.95,3.5,0.0,0,0
Procurement Related,Neutral,1.95,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Patient Care,Positive,0.4,1.77,0.4939,0,0
Students Related,Neutral,1.95,3.5,0.0,0,0
Recruitment Related,Neutral,1.95,3.5,0.0,0,0
Procurement Related,Neutral,1.95,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Deficiency in treatment,Neutral,1.97,3.5,0.0,0,0
Non-availability of appointment,Neutral,1.97,3.5,0.0,0,0
Long waiting period,Neutral,1.97,3.5,0.0,0,0
Misbehaviour by staff,Neutral,1.97,3.5,0.0,0,0
Insufficient space in waiting area,Neutral,2.0,3.5,0.0,0,0
Lack of facilities in OPD,Negative,4.06,4.61,-0.3182,0,0
Financial difficulties,Negative,3.99,4.54,-0.296,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Deficiency in treatment,Neutral,1.97,3.5,0.0,0,0
Non-availability of appointment,Neutral,1.97,3.5,0.0,0,0
Long waiting period,Neutral,1.97,3.5,0.0,0,0
Misbehaviour by staff,Neutral,1.97,3.5,0.0,0,0
Insufficient space in waiting area,Neutral,2.0,3.5,0.0,0,0
Lack of facilities in OPD,Negative,4.06,4.61,-0.3182,0,0
Financial difficulties,Negative,3.99,4.54,-0.296,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Deficiency in treatment,Neutral,1.97,3.5,0.0,0,0
Non-availability of appointment,Neutral,1.97,3.5,0.0,0,0
Long waiting period,Neutral,1.97,3.5,0.0,0,0
Misbehaviour by staff,Neutral,1.97,3.5,0.0,0,0
Insufficient space in waiting area,Neutral,2.0,3.5,0.0,0,0
Lack of facilities in OPD,Negative,4.06,4.61,-0.3182,0,0
Financial difficulties,Negative,3.99,4.54,-0.296,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Deficiency in treatment,Neutral,1.97,3.5,0.0,0,0
Non-availability of appointment,Neutral,1.97,3.5,0.0,0,0
Long waiting period,Neutral,1.97,3.5,0.0,0,0
Misbehaviour by staff,Neutral,1.97,3.5,0.0,0,0
Insufficient space in waiting area,Neutral,2.0,3.5,0.0,0,0
Lack of facilities in OPD,Negative,4.06,4.61,-0.3182,0,0
Financial difficulties,Negative,3.99,4.54,-0.296,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Deficiency in treatment,Neutral,1.97,3.5,0.0,0,0
Non-availability of appointment,Neutral,1.97,3.5,0.0,0,0
Long waiting period,Neutral,1.97,3.5,0.0,0,0
Misbehaviour by staff,Neutral,1.97,3.5,0.0,0,0
Insufficient space in waiting area,Neutral,2.0,3.5,0.0,0,0
Lack of facilities in OPD,Negative,4.06,4.61,-0.3182,0,0
Financial difficulties,Negative,3.99,4.54,-0.296,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Deficiency in treatment,Neutral,1.97,3.5,0.0,0,0
Non-availability of appointment,Neutral,1.97,3.5,0.0,0,0
Long waiting period,Neutral,1.97,3.5,0.0,0,0
Misbehaviour by staff,Neutral,1.97,3.5,0.0,0,0
Insufficient space in waiting area,Neutral,2.0,3.5,0.0,0,0
Lack of facilities in OPD,Negative,4.06,4.61,-0.3182,0,0
Financial difficulties,Negative,3.99,4.54,-0.296,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Deficiency in treatment,Neutral,1.97,3.5,0.0,0,0
Non-availability of appointment,Neutral,1.97,3.5,0.0,0,0
Long waiting period,Neutral,1.97,3.5,0.0,0,0
Misbehaviour by staff,Neutral,1.97,3.5,0.0,0,0
Insufficient space in waiting area,Neutral,2.0,3.5,0.0,0,0
Lack of facilities in OPD,Negative,4.06,4.61,-0.3182,0,0
Financial difficulties,Negative,3.99,4.54,-0.296,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Counselling/ Admission related matters,Neutral,1.97,3.41,0.0258,0,0
AIIMS exam related matters,Neutral,1.97,3.41,0.0258,0,0
Fees related matters,Neutral,1.95,3.41,0.0258,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Counselling/ Admission related matters,Neutral,1.97,3.41,0.0258,0,0
AIIMS exam related matters,Neutral,1.97,3.41,0.0258,0,0
Fees related matters,Neutral,1.95,3.41,0.0258,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Counselling/ Admission related matters,Neutral,1.97,3.41,0.0258,0,0
AIIMS exam related matters,Neutral,1.97,3.41,0.0258,0,0
Fees related matters,Neutral,1.95,3.41,0.0258,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Counselling/ Admission related matters,Neutral,1.97,3.41,0.0258,0,0
AIIMS exam related matters,Neutral,1.97,3.41,0.0258,0,0
Fees related matters,Neutral,1.95,3.41,0.0258,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Counselling/ Admission related matters,Neutral,1.97,3.41,0.0258,0,0
AIIMS exam related matters,Neutral,1.97,3.41,0.0258,0,0
Fees related matters,Neutral,1.95,3.41,0.0258,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Counselling/ Admission related matters,Neutral,1.97,3.41,0.0258,0,0
AIIMS exam related matters,Neutral,1.97,3.41,0.0258,0,0
Fees related matters,Neutral,1.95,3.41,0.0258,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Counselling/ Admission related matters,Neutral,1.97,3.41,0.0258,0,0
AIIMS exam related matters,Neutral,1.97,3.41,0.0258,0,0
Fees related matters,Neutral,1.95,3.41,0.0258,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Regular appointment,Neutral,1.95,3.5,0.0,0,0
Contractual/ Outsourced,Neutral,1.95,3.5,0.0,0,0
Recruitment exam related,Neutral,1.97,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Regular appointment,Neutral,1.95,3.5,0.0,0,0
Contractual/ Outsourced,Neutral,1.95,3.5,0.0,0,0
Recruitment exam related,Neutral,1.97,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Regular appointment,Neutral,1.95,3.5,0.0,0,0
Contractual/ Outsourced,Neutral,1.95,3.5,0.0,0,0
Recruitment exam related,Neutral,1.97,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Regular appointment,Neutral,1.95,3.5,0.0,0,0
Contractual/ Outsourced,Neutral,1.95,3.5,0.0,0,0
Recruitment exam related,Neutral,1.97,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Regular appointment,Neutral,1.95,3.5,0.0,0,0
Contractual/ Outsourced,Neutral,1.95,3.5,0.0,0,0
Recruitment exam related,Neutral,1.97,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Regular appointment,Neutral,1.95,3.5,0.0,0,0
Contractual/ Outsourced,Neutral,1.95,3.5,0.0,0,0
Recruitment exam related,Neutral,1.97,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Regular appointment,Neutral,1.95,3.5,0.0,0,0
Contractual/ Outsourced,Neutral,1.95,3.5,0.0,0,0
Recruitment exam related,Neutral,1.97,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Pre Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Post Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Local Purchase,Neutral,1.95,3.5,0.0,0,0
GeM,Neutral,1.92,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Pre Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Post Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Local Purchase,Neutral,1.95,3.5,0.0,0,0
GeM,Neutral,1.92,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Pre Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Post Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Local Purchase,Neutral,1.95,3.5,0.0,0,0
GeM,Neutral,1.92,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Pre Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Post Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Local Purchase,Neutral,1.95,3.5,0.0,0,0
GeM,Neutral,1.92,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Pre Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Post Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Local Purchase,Neutral,1.95,3.5,0.0,0,0
GeM,Neutral,1.92,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Pre Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Post Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Local Purchase,Neutral,1.95,3.5,0.0,0,0
GeM,Neutral,1.92,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Pre Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Post Tender Grievances,Negative,4.05,4.76,-0.3612,0,0
Local Purchase,Neutral,1.95,3.5,0.0,0,0
GeM,Neutral,1.92,3.5,0.0,0,0
Other,Neutral,1.92,3.5,0.0,0,0
Patient Care,Positive,0.4,1.77,0.4939,0,0
Recruitment Related,Neutral,1.95,3.5,0.0,0,0
